order,slug,name,category,biome,subject,palette_mood,design_mood,status
64,morphous-obsidian,Obsidian,mineral,volcanic field,obsidian shard,black glass smoke grey edge blue,sharp security system,queued
65,morphous-amethyst,Amethyst,mineral,geode cave,amethyst crystal,violet quartz white shadow charcoal,calm premium system,queued
66,morphous-malachite,Malachite,mineral,copper mine,malachite bands,deep green black mint copper,layered finance system,queued
67,morphous-sandstone,Sandstone,mineral,desert cliff,sandstone texture,rose tan ochre shadow brown,warm documentation system,queued
68,morphous-labradorite,Labradorite,mineral,rock shore,labradorite flash,blue green grey gold flash,mysterious creative system,queued
69,morphous-pearl,Pearl,mineral,oyster bed,pearl surface,ivory blush silver shell grey,luxury commerce system,queued
70,morphous-jade,Jade,mineral,mountain stream,jade stone,jade green cream black vein,balanced wellness system,queued
71,morphous-pomegranate,Pomegranate,fruit,orchard,pomegranate split,deep red ruby cream leaf green,rich storytelling system,queued
72,morphous-blueberry,Blueberry,fruit,boreal shrub,blueberry cluster,indigo bloom sage leaf cream,compact nutrition system,queued
73,morphous-blackberry,Blackberry,fruit,hedgerow,blackberry bramble,black purple magenta leaf green,deep content system,queued
74,morphous-citrus,Citrus,fruit,orange grove,citrus slice,orange zest leaf green pith cream,bright service system,queued
75,morphous-fig,Fig,fruit,mediterranean grove,fig fruit and leaf,fig purple leaf green flesh rose,soft editorial system,queued
76,morphous-kiwi,Kiwi,fruit,vine orchard,kiwi cross section,lime green seed black fuzz brown,playful data system,queued
77,morphous-papaya,Papaya,fruit,tropical farm,papaya fruit,melon orange seed black leaf green,marketplace system,queued
78,morphous-passionfruit,Passionfruit,fruit,tropical vine,passionfruit flower and fruit,purple yellow green white,expressive identity system,queued
79,morphous-olive,Olive,fruit,mediterranean grove,olive branch,olive green silver leaf bark brown,calm culinary system,queued
80,morphous-persimmon,Persimmon,fruit,autumn orchard,persimmon fruit,orange fruit brown branch cream,seasonal retail system,queued
81,morphous-maple-seed,Maple Seed,plant,temperate forest,maple samara,amber wing red stem grey,light navigation system,queued
82,morphous-acorn,Acorn,plant,oak woodland,acorn and oak leaf,oak brown leaf green tan,grounded knowledge system,queued
83,morphous-willow,Willow,plant,riverside,willow branch,sage green river blue bark grey,flowing planner system,queued
84,morphous-reed,Reed,plant,marsh,reed plume,taupe plume reed green water grey,structured field system,queued
85,morphous-water-lily,Water Lily,flower,pond,water lily bloom,white petal yellow center green pad,serene interface system,queued
86,morphous-magnolia,Magnolia,flower,southern garden,magnolia blossom,cream petal blush brown leaf green,elegant portfolio system,queued
87,morphous-dahlia,Dahlia,flower,cut flower garden,dahlia bloom,burgundy petal peach gold leaf green,layered brand system,queued
88,morphous-protea,Protea,flower,fynbos,protea bloom,rose pink sage green rust,sculptural dashboard system,queued
89,morphous-aloe,Aloe,plant,dry garden,aloe rosette,blue green aloe rust tip sand,healing product system,queued
90,morphous-agave,Agave,plant,desert garden,agave rosette,blue grey sage cream shadow,architectural SaaS system,queued
91,morphous-otter,Otter,mammal,river,river otter fur,brown fur river blue cream whisker,playful finance system,queued
92,morphous-red-fox,Red Fox,mammal,boreal edge,red fox profile,rust orange white black pine green,smart operations system,queued
93,morphous-arctic-hare,Arctic Hare,mammal,tundra,arctic hare fur,snow white grey ear black eye,minimal winter system,queued
94,morphous-jaguar,Jaguar,mammal,rainforest,jaguar rosette coat,gold fur black rosette jungle green,powerful analytics system,queued
95,morphous-stingray,Stingray,marine,sandy reef,stingray silhouette,sand grey aqua shadow charcoal,low-profile UX system,queued
96,morphous-koi,Koi Fish,fish,koi pond,koi fish scales,white orange black water jade,ornamental dashboard system,queued
97,morphous-betta,Betta Fish,fish,aquatic tank,betta fins,crimson teal royal blue,fluid creator system,queued
98,morphous-salmon,Salmon,fish,cold river,salmon scale and run,silver salmon coral river blue,journey tracking system,queued
99,morphous-pine-forest,Pine Forest,landscape,conifer forest,pine forest canopy,pine green fog grey bark brown,calm infrastructure system,queued
100,morphous-coral-reef,Coral Reef,marine,tropical reef,reef ecosystem,coral orange aqua blue shell cream,vibrant ecosystem system,queued
101,morphous-cloudberry,Cloudberry,fruit,arctic bog,cloudberry fruit,amber orange moss green peat brown,compact northern commerce system,queued
102,morphous-lingonberry,Lingonberry,fruit,boreal understory,lingonberry sprig,cranberry red glossy green snow white,crisp pantry dashboard system,queued
103,morphous-elderberry,Elderberry,fruit,hedgerow,elderberry cluster,inky purple stem green bloom grey,deep archival content system,queued
104,morphous-gooseberry,Gooseberry,fruit,cottage garden,gooseberry fruit,pale green vein white thorn brown,tactile form system,queued
105,morphous-mulberry,Mulberry,fruit,riverside grove,mulberry branch,black violet leaf green bark tan,rich publishing system,queued
106,morphous-huckleberry,Huckleberry,fruit,mountain shrub,huckleberry cluster,blue black sage green dusty bloom,quiet metrics system,queued
107,morphous-cranberry,Cranberry,fruit,peat bog,cranberry vine,cranberry red bog green water blue,alert commerce system,queued
108,morphous-boysenberry,Boysenberry,fruit,bramble garden,boysenberry cane,deep maroon leaf green cane brown,juicy media system,queued
109,morphous-redcurrant,Redcurrant,fruit,cool garden,redcurrant strings,clear ruby leaf green translucent cream,precise inventory system,queued
110,morphous-blackcurrant,Blackcurrant,fruit,temperate hedge,blackcurrant cluster,black purple leaf green blossom white,robust content system,queued
111,morphous-sea-buckthorn,Sea Buckthorn,fruit,coastal scrub,sea buckthorn berries,orange berry silver leaf sand,bright resilience system,queued
112,morphous-quince,Quince,fruit,old orchard,quince fruit,golden yellow felt green branch brown,heritage editorial system,queued
113,morphous-loquat,Loquat,fruit,subtropical orchard,loquat cluster,apricot gold leaf dark green cream,warm service system,queued
114,morphous-lychee,Lychee,fruit,tropical orchard,lychee shell,pink shell pearl flesh leaf green,delicate commerce system,queued
115,morphous-rambutan,Rambutan,fruit,tropical market,rambutan fruit,red hair lime green cream,spiky playful catalog system,queued
116,morphous-mangosteen,Mangosteen,fruit,tropical forest,mangosteen cross section,deep purple white flesh leaf green,premium product system,queued
117,morphous-starfruit,Starfruit,fruit,tropical grove,starfruit slice,translucent yellow lime edge leaf green,sharp onboarding system,queued
118,morphous-dragon-fruit,Dragon Fruit,fruit,tropical cactus farm,dragon fruit section,magenta peel white seed lime,expressive creator system,queued
119,morphous-jackfruit,Jackfruit,fruit,monsoon orchard,jackfruit pod,golden pulp green rind brown,large scale marketplace system,queued
120,morphous-durian,Durian,fruit,tropical canopy,durian husk,olive spike cream gold shadow,distinctive operations system,queued
121,morphous-soursop,Soursop,fruit,tropical understory,soursop fruit,sage green white pulp black seed,soft wellness system,queued
122,morphous-guava,Guava,fruit,tropical garden,guava half,pink flesh lime rind seed cream,fresh consumer system,queued
123,morphous-guarana,Guarana,fruit,amazon vine,guarana pod,red shell white pulp black seed,energized analytics system,queued
124,morphous-cacao,Cacao,fruit,rainforest plantation,cacao pod,cocoa red ochre cream leaf green,craft commerce system,queued
125,morphous-coffee-cherry,Coffee Cherry,fruit,cloud forest farm,coffee cherry branch,deep red glossy green bean cream,focused productivity system,queued
126,morphous-coconut,Coconut,fruit,tropical shore,coconut husk,warm brown coconut white palm green,coastal utility system,queued
127,morphous-breadfruit,Breadfruit,fruit,island grove,breadfruit leaf and fruit,lime green dark leaf cream,community provisioning system,queued
128,morphous-tamarind,Tamarind,fruit,dry tropical woodland,tamarind pod,cinnamon brown sour pulp leaf green,earthy finance system,queued
129,morphous-juniper-berry,Juniper Berry,fruit,alpine scrub,juniper berries,blue bloom needle green bark grey,botanical tooling system,queued
130,morphous-serviceberry,Serviceberry,fruit,woodland edge,serviceberry branch,purple berry spring white leaf green,gentle neighborhood system,queued
131,morphous-blood-orange,Blood Orange,fruit,citrus grove,blood orange slice,ruby red orange peel pith cream,bold culinary system,queued
132,morphous-yuzu,Yuzu,fruit,japanese orchard,yuzu fruit,bright yellow leaf green rind texture,clean hospitality system,queued
133,morphous-kumquat,Kumquat,fruit,container orchard,kumquat branch,orange fruit glossy leaf green,compact retail system,queued
134,morphous-feijoa,Feijoa,fruit,subtropical hedge,feijoa flower and fruit,silver green crimson stamen cream,refined garden system,queued
135,morphous-medlar,Medlar,fruit,old hedgerow,medlar fruit,russet brown parchment cream leaf green,antique archive system,queued
136,morphous-jujube,Jujube,fruit,dry orchard,jujube fruit,mahogany red olive leaf cream,resilient planning system,queued
137,morphous-date-palm,Date Palm,fruit,oasis grove,date cluster,amber brown palm green desert gold,structured scheduling system,queued
138,morphous-prickly-pear,Prickly Pear,fruit,desert scrub,prickly pear fruit,fuchsia fruit sage pad sand,brisk field app system,queued
139,morphous-mirabelle-plum,Mirabelle Plum,fruit,old orchard,mirabelle cluster,golden plum leaf green wax bloom,delightful commerce system,queued
140,morphous-damson-plum,Damson Plum,fruit,hedgerow orchard,damson plum branch,deep indigo bloom green brown,rich editorial system,queued
141,morphous-white-peach,White Peach,fruit,spring orchard,white peach fruit,cream blush leaf green soft gold,soft lifestyle system,queued
142,morphous-nectarine,Nectarine,fruit,warm orchard,nectarine fruit,red orange gold leaf green,polished product system,queued
143,morphous-apricot,Apricot,fruit,dry hillside orchard,apricot branch,apricot orange sage leaf bark brown,warm creator system,queued
144,morphous-plum-blossom,Plum Blossom,flower,winter garden,plum blossom branch,pink white bark black bud red,elegant writing system,queued
145,morphous-camellia,Camellia,flower,evergreen garden,camellia bloom,deep red glossy green petal shadow,formal publication system,queued
146,morphous-azalea,Azalea,flower,mountain garden,azalea cluster,hot pink leaf green bark grey,expressive community system,queued
147,morphous-rhododendron,Rhododendron,flower,cloud forest,rhododendron bloom,rose magenta wax green mist grey,layered knowledge system,queued
148,morphous-wisteria,Wisteria,flower,pergola garden,wisteria raceme,lilac purple vine brown leaf green,flowing navigation system,queued
149,morphous-clematis,Clematis,flower,climbing trellis,clematis bloom,violet petal cream filament green,precise portfolio system,queued
150,morphous-honeysuckle,Honeysuckle,flower,woodland vine,honeysuckle flowers,cream yellow coral stem green,sweet collaboration system,queued
151,morphous-jasmine,Jasmine,flower,night garden,jasmine blossom,white petal wax green night blue,calm messaging system,queued
152,morphous-gardenia,Gardenia,flower,southern garden,gardenia bloom,ivory petal glossy green shadow,polished luxury system,queued
153,morphous-carnation,Carnation,flower,cut flower bed,carnation ruffle,rose pink stem green cream,layered social system,queued
154,morphous-zinnia,Zinnia,flower,pollinator garden,zinnia bloom,coral orange magenta leaf green,bright campaign system,queued
155,morphous-marigold,Marigold,flower,kitchen garden,marigold bloom,saffron orange leaf green umber,productive garden system,queued
156,morphous-nasturtium,Nasturtium,flower,edible garden,nasturtium blossom,tangerine red round leaf green,playful recipe system,queued
157,morphous-snapdragon,Snapdragon,flower,cottage border,snapdragon spike,magenta cream leaf green stem shadow,vertical timeline system,queued
158,morphous-foxglove,Foxglove,flower,woodland edge,foxglove spire,rose purple speckle cream green,careful clinical system,queued
159,morphous-delphinium,Delphinium,flower,cool garden,delphinium spike,cobalt blue violet leaf green,crisp knowledge system,queued
160,morphous-lupine,Lupine,flower,alpine meadow,lupine flower spike,blue violet leaf green silver,modular education system,queued
161,morphous-bluebell,Bluebell,flower,spring woodland,bluebell carpet,blue violet moss green bark brown,quiet discovery system,queued
162,morphous-anemone,Anemone,flower,woodland floor,anemone bloom,white petal yellow center leaf green,clean editorial system,queued
163,morphous-ranunculus,Ranunculus,flower,flower farm,ranunculus layers,butter yellow coral pink leaf green,dense component system,queued
164,morphous-peony,Peony,flower,formal garden,peony bloom,blush pink crimson leaf green,romantic product system,queued
165,morphous-hibiscus,Hibiscus,flower,tropical garden,hibiscus flower,scarlet petal yellow stamen dark green,bold resort system,queued
166,morphous-bougainvillea,Bougainvillea,flower,dry coastal wall,bougainvillea bracts,fuchsia magenta leaf green stucco white,vibrant travel system,queued
167,morphous-bird-of-paradise,Bird of Paradise,flower,tropical garden,bird of paradise bloom,orange blue green spear leaf,dramatic presentation system,queued
168,morphous-frangipani,Frangipani,flower,island garden,frangipani blossom,cream yellow pink wax green,serene hospitality system,queued
169,morphous-tuberose,Tuberose,flower,night garden,tuberose spike,ivory bloom green stem dusk blue,refined wellness system,queued
170,morphous-lilac,Lilac,flower,temperate garden,lilac panicle,lilac purple leaf green spring grey,nostalgic archive system,queued
171,morphous-sweet-pea,Sweet Pea,flower,cottage trellis,sweet pea blossoms,pink lavender vine green cream,gentle communication system,queued
172,morphous-cornflower,Cornflower,flower,wheat field,cornflower bloom,blue petal wheat tan leaf green,clear documentation system,queued
173,morphous-bachelor-button,Bachelor Button,flower,meadow,bachelor button flower,indigo blue silver green straw,compact notes system,queued
174,morphous-evening-primrose,Evening Primrose,flower,dusk meadow,evening primrose bloom,pale yellow leaf green twilight blue,calm evening app system,queued
175,morphous-queen-annes-lace,Queen Annes Lace,flower,roadside meadow,lace flower umbel,white lace fern green dry grass,airy dashboard system,queued
176,morphous-yarrow,Yarrow,flower,prairie,yarrow flower cluster,cream white sage green ochre,medicinal operations system,queued
177,morphous-heather,Heather,flower,moorland,heather sprig,heather purple moss green peat brown,soft landscape system,queued
178,morphous-gorse,Gorse,flower,coastal heath,gorse flowers,golden yellow thorn green sea grey,resilient alert system,queued
179,morphous-fireweed,Fireweed,flower,postfire meadow,fireweed stalk,magenta flower ash grey leaf green,regrowth planning system,queued
180,morphous-trillium,Trillium,flower,deciduous woodland,trillium bloom,white petal green leaf burgundy,balanced research system,queued
181,morphous-lily-of-the-valley,Lily of the Valley,flower,shade garden,lily of the valley bells,white bell leaf green soft shadow,delicate task system,queued
182,morphous-snowdrop,Snowdrop,flower,winter woodland,snowdrop bloom,snow white green tip thaw brown,minimal transition system,queued
183,morphous-crocus,Crocus,flower,early spring lawn,crocus bloom,violet petal saffron orange grass green,seasonal onboarding system,queued
184,morphous-tulip,Tulip,flower,spring field,tulip cup,red coral leaf green black center,bold gallery system,queued
185,morphous-daffodil,Daffodil,flower,spring garden,daffodil trumpet,yellow trumpet white petal leaf green,optimistic learning system,queued
186,morphous-hollyhock,Hollyhock,flower,cottage wall,hollyhock tower,rose pink leaf green seed brown,vertical publishing system,queued
187,morphous-geranium,Geranium,flower,window box,geranium bloom,scarlet petal round green leaf,compact home system,queued
188,morphous-fuchsia,Fuchsia,flower,shade basket,fuchsia flower,magenta purple green stem,pop interaction system,queued
189,morphous-begonia,Begonia,flower,humid understory,begonia leaf and bloom,coral pink olive leaf silver,decorative admin system,queued
190,morphous-hellebore,Hellebore,flower,winter shade,hellebore bloom,dusty mauve green cream plum,subtle editorial system,queued
191,morphous-maidenhair-fern,Maidenhair Fern,plant,shaded grotto,maidenhair frond,black stem light green mist grey,delicate navigation system,queued
192,morphous-staghorn-fern,Staghorn Fern,plant,tropical tree,staghorn fern shield,sage green cork brown shadow,sculptural dashboard system,queued
193,morphous-horsetail,Horsetail,plant,wet meadow,horsetail stems,bottle green joint black mud brown,linear data system,queued
194,morphous-clover,Clover,plant,meadow,clover leaf,leaf green white bloom soil brown,friendly community system,queued
195,morphous-oxalis,Oxalis,plant,woodland path,oxalis leaf and flower,purple leaf pink flower lime green,playful settings system,queued
196,morphous-sorrel,Sorrel,plant,field edge,sorrel leaf,rust red green stem cream,sharp content system,queued
197,morphous-nettle,Nettle,plant,woodland edge,nettle leaves,deep green serrated leaf pale hair,practical safety system,queued
198,morphous-thistle,Thistle,plant,highland meadow,thistle flower,purple bloom silver green spine,sturdy identity system,queued
199,morphous-teasel,Teasel,plant,wet meadow,teasel seed head,taupe seed purple ring stem green,textural catalog system,queued
200,morphous-milkweed,Milkweed,plant,prairie edge,milkweed pod,sage green silk white seed brown,soft migration system,queued
201,morphous-cattail,Cattail,plant,marsh,cattail reed,cocoa brown reed green water blue,structured wetland system,queued
202,morphous-papyrus,Papyrus,plant,river delta,papyrus crown,green stem straw plume water teal,archival writing system,queued
203,morphous-sedge,Sedge,plant,fen,sedge tuft,olive green straw tan peat brown,quiet field system,queued
204,morphous-rush,Rush,plant,wet pasture,rush stems,dark green water grey seed tan,minimal operations system,queued
205,morphous-seagrass,Seagrass,plant,shallow lagoon,seagrass blades,sea green aqua sand cream,fluid maps system,queued
206,morphous-kelp-forest,Kelp Forest,plant,cold ocean,kelp canopy,olive kelp amber water blue,immersive data system,queued
207,morphous-sargassum,Sargassum,plant,open ocean,sargassum weed,golden brown sea blue bubble cream,drifting knowledge system,queued
208,morphous-duckweed,Duckweed,plant,still pond,duckweed mat,lime green water dark teal,lightweight status system,queued
209,morphous-water-hyacinth,Water Hyacinth,plant,tropical pond,water hyacinth flower,lavender petal glossy green water,calm aquatic system,queued
210,morphous-lotus-seedpod,Lotus Seedpod,plant,pond edge,lotus seedpod,olive pod seed brown leaf green,modular component system,queued
211,morphous-banana-leaf,Banana Leaf,plant,tropical grove,banana leaf,emerald green rib yellow edge,fresh layout system,queued
212,morphous-palm-frond,Palm Frond,plant,tropical shore,palm frond,palm green coconut brown sand cream,relaxed travel system,queued
213,morphous-monstera,Monstera,plant,tropical understory,monstera leaf,deep green split leaf shadow,modern interior system,queued
214,morphous-philodendron,Philodendron,plant,rainforest floor,philodendron leaf,gloss green vein lime shadow,polished workspace system,queued
215,morphous-pilea,Pilea,plant,houseplant shelf,pilea leaf,round green stem pale soil,compact finance system,queued
216,morphous-succulent-rosette,Succulent Rosette,plant,dry garden,succulent rosette,blue green blush edge gravel grey,neat wellness system,queued
217,morphous-sedum,Sedum,plant,rock garden,sedum cluster,chartreuse leaf coral tip stone grey,compact tile system,queued
218,morphous-echeveria,Echeveria,plant,desert greenhouse,echeveria rosette,powder blue lilac edge sand,soft design system,queued
219,morphous-lithops,Lithops,plant,namib gravel,living stone plant,stone grey tan green fissure,minimal object system,queued
220,morphous-air-plant,Air Plant,plant,cloud forest branch,tillandsia rosette,silver green blush violet bark,lightweight tool system,queued
221,morphous-spanish-moss,Spanish Moss,plant,swamp canopy,spanish moss drape,silver grey green cypress brown,atmospheric notes system,queued
222,morphous-banyan-root,Banyan Root,plant,tropical grove,banyan aerial roots,bark brown leaf green warm grey,rooted enterprise system,queued
223,morphous-redwood,Redwood,plant,coastal forest,redwood trunk,rust bark deep green fog grey,monumental knowledge system,queued
224,morphous-birch-bark,Birch Bark,plant,boreal forest,birch bark,white bark black scar leaf green,clean editorial system,queued
225,morphous-aspen-leaf,Aspen Leaf,plant,mountain grove,aspen leaves,golden yellow white bark sky blue,light collaboration system,queued
226,morphous-ginkgo,Ginkgo,plant,urban grove,ginkgo fan leaf,golden yellow green grey branch,balanced civic system,queued
227,morphous-maple-leaf,Maple Leaf,plant,autumn forest,maple leaf,red orange gold vein brown,seasonal dashboard system,queued
228,morphous-oak-leaf,Oak Leaf,plant,oak woodland,oak leaf,deep green acorn brown tan,grounded planning system,queued
229,morphous-elm-leaf,Elm Leaf,plant,riverside forest,elm leaf,serrated green pale vein bark grey,practical publishing system,queued
230,morphous-beech-leaf,Beech Leaf,plant,temperate forest,beech leaf,copper leaf smooth grey green,quiet archive system,queued
231,morphous-cedar-spray,Cedar Spray,plant,cedar forest,cedar branch,blue green cedar brown bark,stable infrastructure system,queued
232,morphous-spruce-needle,Spruce Needle,plant,boreal forest,spruce needles,dark green blue shadow cone brown,crisp operations system,queued
233,morphous-larch,Larch,plant,alpine forest,larch needles,gold needle bark grey moss green,seasonal monitoring system,queued
234,morphous-yew,Yew,plant,ancient woodland,yew branch,dark green red aril bark brown,formal security system,queued
235,morphous-holly,Holly,plant,winter hedgerow,holly leaves,gloss green red berry snow white,festive commerce system,queued
236,morphous-mistletoe,Mistletoe,plant,winter branch,mistletoe cluster,pale green white berry bark grey,soft connection system,queued
237,morphous-sagebrush,Sagebrush,plant,high desert,sagebrush sprig,silver sage sand tan dusk blue,dryland map system,queued
238,morphous-creosote-bush,Creosote Bush,plant,sonoran desert,creosote leaves,olive green yellow flower gravel tan,resilient field system,queued
239,morphous-tumbleweed,Tumbleweed,plant,dry steppe,tumbleweed form,straw tan dust brown sky pale,spacious queue system,queued
240,morphous-marram-grass,Marram Grass,plant,coastal dunes,marram grass tuft,sand gold blade green sea grey,coastal planning system,queued
241,morphous-sea-oats,Sea Oats,plant,beach dune,sea oats seed heads,straw gold dune sand sea blue,relaxed editorial system,queued
242,morphous-switchgrass,Switchgrass,plant,tallgrass prairie,switchgrass plume,copper grass green seed tan,renewable metrics system,queued
243,morphous-bluestem,Bluestem Grass,plant,prairie,big bluestem stalk,blue green rust seed gold,open analytics system,queued
244,morphous-buffalo-grass,Buffalo Grass,plant,shortgrass prairie,buffalo grass mat,soft green straw tan soil brown,low profile app system,queued
245,morphous-rice-panicle,Rice Panicle,plant,paddy field,rice panicle,pale gold rice green water sky,harvest operations system,queued
